This is potfit-git compiled on Nov 22 2016, 10:44:56.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> LJ_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 3 parameters.
  k	T        	  m	F          	F_opt
 16	7.425109	  3	13.926425	0.203160
 16	7.425109	  4	14.196325	0.203160
 16	7.425109	  5	10.878150	0.203160
 16	7.425109	  6	1.978325	0.203160
 16	7.425109	  7	4.452622	0.203160
 16	7.425109	  8	2.456163	0.203160
 16	7.425109	  9	16.423801	0.203160
 17	6.311342	  1	2.203781	0.203160
 17	6.311342	  2	7.110836	0.203160
 17	6.311342	  3	7.741296	0.203160
 17	6.311342	  4	2.859538	0.203160
 17	6.311342	  5	2.077971	0.203160
 17	6.311342	  6	1.531384	0.203160
 17	6.311342	  7	0.466234	0.203160
 17	6.311342	  8	1.921487	0.203160
 17	6.311342	  9	0.451529	0.203160
 18	5.364641	  1	18.360779	0.203160
 18	5.364641	  2	5.426312	0.203160
 18	5.364641	  3	14.518822	0.203160
 18	5.364641	  4	3.534149	0.203160
 18	5.364641	  5	2.878877	0.203160
 18	5.364641	  6	1.858488	0.203160
 18	5.364641	  7	1.561018	0.203160
 18	5.364641	  8	3.582090	0.203160
 18	5.364641	  9	20.891116	0.203160
 19	4.559945	  1	10.900573	0.203160
 19	4.559945	  2	3.687823	0.203160
 19	4.559945	  3	1.359624	0.203160
 19	4.559945	  4	7.515313	0.203160
 19	4.559945	  5	6.877185	0.203160
 19	4.559945	  6	0.655756	0.203160
 19	4.559945	  7	0.933889	0.203160
 19	4.559945	  8	3.628316	0.203160
 19	4.559945	  9	6.442695	0.201720
 20	3.875953	  1	8.751139	0.201720
 20	3.875953	  2	7.180046	0.201720
 20	3.875953	  3	0.991034	0.201720
 20	3.875953	  4	5.065538	0.201720
 20	3.875953	  5	2.456886	0.201720
 20	3.875953	  6	0.947604	0.201720
 20	3.875953	  7	3.217805	0.201720
 20	3.875953	  8	4.723079	0.201720
 20	3.875953	  9	2.523671	0.201720
 21	3.294560	  1	2.760634	0.201720
 21	3.294560	  2	7.889465	0.201720
 21	3.294560	  3	5.431323	0.201720
 21	3.294560	  4	5.100242	0.201720
 21	3.294560	  5	2.223368	0.201720
 21	3.294560	  6	2.121139	0.201720
 21	3.294560	  7	3.797001	0.201720
 21	3.294560	  8	0.718269	0.201720
 21	3.294560	  9	4.971560	0.201720
 22	2.800376	  1	8.638784	0.201720
 22	2.800376	  2	0.656506	0.201720
 22	2.800376	  3	3.047064	0.201720
 22	2.800376	  4	2.725767	0.201720
 22	2.800376	  5	5.656852	0.201720
 22	2.800376	  6	2.659728	0.201720
 22	2.800376	  7	1.411104	0.201720
 22	2.800376	  8	2.478504	0.201720
 22	2.800376	  9	1.870488	0.201720
 23	2.380320	  1	6.073561	0.201720
 23	2.380320	  2	0.688011	0.201720
 23	2.380320	  3	5.618737	0.201720
 23	2.380320	  4	1.656172	0.201720
 23	2.380320	  5	3.049765	0.201720
 23	2.380320	  6	0.958546	0.201720
 23	2.380320	  7	1.510054	0.201720
 23	2.380320	  8	2.326342	0.201720
 23	2.380320	  9	5.117954	0.201720
 24	2.023272	  1	3.921979	0.201720
 24	2.023272	  2	0.555034	0.201720
 24	2.023272	  3	1.612117	0.201720
 24	2.023272	  4	0.741565	0.191921
 24	2.023272	  5	0.675620	0.191921
 24	2.023272	  6	2.278254	0.191921
 24	2.023272	  7	3.695271	0.191921
 24	2.023272	  8	1.833776	0.191921
 24	2.023272	  9	1.724320	0.191921
 25	1.719781	  1	0.456192	0.191921
 25	1.719781	  2	2.716789	0.191921
 25	1.719781	  3	3.086041	0.191921
 25	1.719781	  4	2.184624	0.191921
 25	1.719781	  5	0.431038	0.191921
 25	1.719781	  6	0.982139	0.191921
 25	1.719781	  7	1.291506	0.191921
 25	1.719781	  8	2.570890	0.191921
 25	1.719781	  9	0.742839	0.191921
 26	1.461814	  1	0.359533	0.191921
 26	1.461814	  2	3.270209	0.191921
 26	1.461814	  3	3.622005	0.191921
 26	1.461814	  4	1.603822	0.191921
 26	1.461814	  5	1.837180	0.191921
 26	1.461814	  6	1.145647	0.191921
 26	1.461814	  7	0.682727	0.191921
 26	1.461814	  8	3.126918	0.191921
 26	1.461814	  9	1.560064	0.191921
 27	1.242542	  1	0.791223	0.191921
 27	1.242542	  2	0.702708	0.191921
 27	1.242542	  3	1.177773	0.191921
 27	1.242542	  4	2.261356	0.191921
 27	1.242542	  5	2.369076	0.191921
 27	1.242542	  6	1.020184	0.191921
 27	1.242542	  7	0.350300	0.191921
 27	1.242542	  8	3.102158	0.191921
 27	1.242542	  9	1.104966	0.191921
 28	1.056160	  1	2.152392	0.191921
 28	1.056160	  2	0.439535	0.191921
 28	1.056160	  3	0.435103	0.191921
 28	1.056160	  4	0.322193	0.191921
 28	1.056160	  5	0.209824	0.191921
 28	1.056160	  6	1.932521	0.191921
 28	1.056160	  7	1.230645	0.191921
 28	1.056160	  8	1.037980	0.191921
 28	1.056160	  9	2.097553	0.191921
 29	0.897736	  1	0.338755	0.191921
 29	0.897736	  2	0.952494	0.191921
 29	0.897736	  3	1.992255	0.191921
 29	0.897736	  4	0.279769	0.191921
 29	0.897736	  5	1.977215	0.191921
 29	0.897736	  6	1.069175	0.191921
 29	0.897736	  7	0.247861	0.191921
 29	0.897736	  8	1.920654	0.191921
 29	0.897736	  9	2.397028	0.191921
 30	0.763076	  1	0.493114	0.191921
 30	0.763076	  2	0.267734	0.191921
 30	0.763076	  3	0.560453	0.191921
 30	0.763076	  4	1.090774	0.191921
 30	0.763076	  5	0.818497	0.191921
 30	0.763076	  6	0.371863	0.191921
 30	0.763076	  7	0.402440	0.191921
 30	0.763076	  8	0.456960	0.191921
 30	0.763076	  9	0.311321	0.191921
 31	0.648615	  1	0.557446	0.191921
 31	0.648615	  2	0.595075	0.191921
 31	0.648615	  3	0.436683	0.191921
 31	0.648615	  4	1.292194	0.191921
 31	0.648615	  5	0.744585	0.191921
 31	0.648615	  6	0.513006	0.191921
 31	0.648615	  7	0.899724	0.191921
 31	0.648615	  8	1.642170	0.191921
 31	0.648615	  9	1.019406	0.191921
 32	0.551322	  1	0.814307	0.191921
 32	0.551322	  2	1.522934	0.191921
 32	0.551322	  3	0.783898	0.191921
 32	0.551322	  4	0.986099	0.191921
 32	0.551322	  5	0.769252	0.191921
 32	0.551322	  6	0.520810	0.191921
 32	0.551322	  7	0.947767	0.191921
 32	0.551322	  8	1.002450	0.191921
 32	0.551322	  9	0.270101	0.191921
 33	0.468624	  1	0.841715	0.191921
 33	0.468624	  2	0.512449	0.191921
 33	0.468624	  3	0.295994	0.191921
 33	0.468624	  4	1.219834	0.191921
 33	0.468624	  5	0.496061	0.191921
 33	0.468624	  6	0.352705	0.191921
 33	0.468624	  7	0.375181	0.191921
 33	0.468624	  8	0.830834	0.191921
 33	0.468624	  9	0.702980	0.191921
 34	0.398330	  1	0.684064	0.191921
 34	0.398330	  2	0.463010	0.191921
 34	0.398330	  3	0.452904	0.191921
 34	0.398330	  4	0.315482	0.191921
 34	0.398330	  5	1.005749	0.191921
 34	0.398330	  6	0.591473	0.191921
 34	0.398330	  7	0.298079	0.191921
 34	0.398330	  8	0.223504	0.191921
 34	0.398330	  9	1.071533	0.191921
 35	0.338581	  1	0.222452	0.191921
 35	0.338581	  2	0.379380	0.191921
 35	0.338581	  3	0.918341	0.191921
 35	0.338581	  4	0.363377	0.191921
 35	0.338581	  5	0.471963	0.191921
 35	0.338581	  6	0.386559	0.191921
 35	0.338581	  7	0.424421	0.191921
 35	0.338581	  8	0.744990	0.191921
 35	0.338581	  9	0.677394	0.191921
 36	0.287794	  1	0.322319	0.191921
 36	0.287794	  2	0.399849	0.191921
 36	0.287794	  3	0.262392	0.191921
 36	0.287794	  4	0.226781	0.191921
 36	0.287794	  5	0.374240	0.191921
 36	0.287794	  6	0.387484	0.191921
 36	0.287794	  7	0.378777	0.191921
 36	0.287794	  8	0.247788	0.191921
 36	0.287794	  9	0.331013	0.191921
 37	0.244625	  1	0.229336	0.191921
 37	0.244625	  2	0.476108	0.191921
 37	0.244625	  3	0.917834	0.191921
 37	0.244625	  4	1.083615	0.191921
 37	0.244625	  5	0.293446	0.191921
 37	0.244625	  6	0.228143	0.191921
 37	0.244625	  7	0.723071	0.191921
 37	0.244625	  8	0.424096	0.191921
 37	0.244625	  9	0.452637	0.191921
 38	0.207931	  1	0.318991	0.191921
 38	0.207931	  2	0.258322	0.191921
 38	0.207931	  3	0.277187	0.191921
 38	0.207931	  4	0.208328	0.191921
 38	0.207931	  5	0.235863	0.191921
 38	0.207931	  6	0.383761	0.191921
 38	0.207931	  7	0.193204	0.191921
 38	0.207931	  8	0.402152	0.191921
 38	0.207931	  9	0.467175	0.191921
 39	0.176741	  1	0.319922	0.191921
 39	0.176741	  2	0.246876	0.191921
 39	0.176741	  3	0.287876	0.190749
 39	0.176741	  4	0.458023	0.190749
 39	0.176741	  5	0.582062	0.190749
 39	0.176741	  6	0.253914	0.190749
 39	0.176741	  7	0.584970	0.190749
 39	0.176741	  8	0.505411	0.190749
 39	0.176741	  9	0.568600	0.190749
 40	0.150230	  1	0.301363	0.190749
 40	0.150230	  2	0.337253	0.190749
 40	0.150230	  3	0.220008	0.190749
 40	0.150230	  4	0.446416	0.190749
 40	0.150230	  5	0.556059	0.190749
 40	0.150230	  6	0.453812	0.190749
 40	0.150230	  7	0.367784	0.190749
 40	0.150230	  8	0.484616	0.190749
 40	0.150230	  9	0.325722	0.190749
 41	0.127696	  1	0.227028	0.190749
 41	0.127696	  2	0.232968	0.190749
 41	0.127696	  3	0.261485	0.190749
 41	0.127696	  4	0.254223	0.190749
 41	0.127696	  5	0.428812	0.190749
 41	0.127696	  6	0.503625	0.190749
 41	0.127696	  7	0.258663	0.190749
 41	0.127696	  8	0.341312	0.190749
 41	0.127696	  9	0.248943	0.190749
 42	0.108541	  1	0.249371	0.190749
 42	0.108541	  2	0.275442	0.190749
 42	0.108541	  3	0.225542	0.190749
 42	0.108541	  4	0.469228	0.190749
 42	0.108541	  5	0.194788	0.190749
 42	0.108541	  6	0.237655	0.190749
 42	0.108541	  7	0.330396	0.190749
 42	0.108541	  8	0.420720	0.190749
 42	0.108541	  9	0.214579	0.190749
 43	0.092260	  1	0.211711	0.190749
 43	0.092260	  2	0.245850	0.190749
 43	0.092260	  3	0.281878	0.190749
 43	0.092260	  4	0.323010	0.190749
 43	0.092260	  5	0.289066	0.190749
 43	0.092260	  6	0.307309	0.190749
 43	0.092260	  7	0.280336	0.190749
 43	0.092260	  8	0.340840	0.190749
 43	0.092260	  9	0.242130	0.190749
 44	0.078421	  1	0.263315	0.190749
 44	0.078421	  2	0.216144	0.190749
 44	0.078421	  3	0.217786	0.190749
 44	0.078421	  4	0.261111	0.190749
 44	0.078421	  5	0.370640	0.190749
 44	0.078421	  6	0.291547	0.190749
 44	0.078421	  7	0.292685	0.190749
 44	0.078421	  8	0.243145	0.190749
 44	0.078421	  9	0.417144	0.190749
 45	0.066658	  1	0.371530	0.190749
 45	0.066658	  2	0.327680	0.190749
 45	0.066658	  3	0.228631	0.190749
 45	0.066658	  4	0.236011	0.190749
 45	0.066658	  5	0.248399	0.190749
 45	0.066658	  6	0.267645	0.190749
 45	0.066658	  7	0.217864	0.190749
 45	0.066658	  8	0.298281	0.190749
 45	0.066658	  9	0.287396	0.190749
 46	0.056659	  1	0.325881	0.190749
 46	0.056659	  2	0.277556	0.190749
 46	0.056659	  3	0.209922	0.190749
 46	0.056659	  4	0.263782	0.190749
 46	0.056659	  5	0.208902	0.190749
 46	0.056659	  6	0.297196	0.190749
 46	0.056659	  7	0.307878	0.190749
 46	0.056659	  8	0.260959	0.190749
 46	0.056659	  9	0.267910	0.190749
 47	0.048160	  1	0.219898	0.190749
 47	0.048160	  2	0.302043	0.190749
 47	0.048160	  3	0.235315	0.190749
 47	0.048160	  4	0.230092	0.190749
 47	0.048160	  5	0.270315	0.190749
 47	0.048160	  6	0.277285	0.190749
 47	0.048160	  7	0.314874	0.190749
 47	0.048160	  8	0.320699	0.190749
 47	0.048160	  9	0.222789	0.190749
 48	0.040936	  1	0.192939	0.190749
 48	0.040936	  2	0.235888	0.190749
 48	0.040936	  3	0.266898	0.190749
 48	0.040936	  4	0.205607	0.190749
 48	0.040936	  5	0.246418	0.190749
 48	0.040936	  6	0.360113	0.190749
 48	0.040936	  7	0.351408	0.190749
 48	0.040936	  8	0.219024	0.190749
 48	0.040936	  9	0.240360	0.190749
 49	0.034796	  1	0.266997	0.190749
 49	0.034796	  2	0.305700	0.190749
 49	0.034796	  3	0.265263	0.190749
 49	0.034796	  4	0.335703	0.190749
 49	0.034796	  5	0.327025	0.190749
 49	0.034796	  6	0.287785	0.190749
 49	0.034796	  7	0.298267	0.190749
 49	0.034796	  8	0.299036	0.190749
 49	0.034796	  9	0.274937	0.190749
 50	0.029576	  1	0.327471	0.190749
 50	0.029576	  2	0.291066	0.190749
 50	0.029576	  3	0.277740	0.190749
 50	0.029576	  4	0.308702	0.190749
 50	0.029576	  5	0.219199	0.190749
 50	0.029576	  6	0.194714	0.190749
 50	0.029576	  7	0.243854	0.190749
 50	0.029576	  8	0.202541	0.190749
 50	0.029576	  9	0.240117	0.190749
 51	0.025140	  1	0.218412	0.190749
 51	0.025140	  2	0.212605	0.190749
 51	0.025140	  3	0.266924	0.190749
 51	0.025140	  4	0.279193	0.190749
 51	0.025140	  5	0.271200	0.190749
 51	0.025140	  6	0.200284	0.190749
 51	0.025140	  7	0.195316	0.190749
 51	0.025140	  8	0.193830	0.190749
 51	0.025140	  9	0.263493	0.190749
 52	0.021369	  1	0.318181	0.190749
 52	0.021369	  2	0.258917	0.190749
 52	0.021369	  3	0.242483	0.190749
 52	0.021369	  4	0.249482	0.190749
 52	0.021369	  5	0.244139	0.190749
 52	0.021369	  6	0.202332	0.190749
 52	0.021369	  7	0.199948	0.190749
 52	0.021369	  8	0.204628	0.190749
 52	0.021369	  9	0.205978	0.190749
 53	0.018164	  1	0.231833	0.190749
 53	0.018164	  2	0.210736	0.190749
 53	0.018164	  3	0.307720	0.190749
 53	0.018164	  4	0.242128	0.190749
 53	0.018164	  5	0.221852	0.190749
 53	0.018164	  6	0.206775	0.190749
 53	0.018164	  7	0.209161	0.190749
 53	0.018164	  8	0.215143	0.190603
 53	0.018164	  9	0.204373	0.190603
 54	0.015439	  1	0.198203	0.190603
 54	0.015439	  2	0.209197	0.190603
 54	0.015439	  3	0.195005	0.190603
 54	0.015439	  4	0.195349	0.190603
 54	0.015439	  5	0.207182	0.190603
 54	0.015439	  6	0.225112	0.189615
 54	0.015439	  7	0.198693	0.189615
 54	0.015439	  8	0.218022	0.189615
 54	0.015439	  9	0.201124	0.189615
 55	0.013123	  1	0.218805	0.189615
 55	0.013123	  2	0.203580	0.189615
 55	0.013123	  3	0.193563	0.189615
 55	0.013123	  4	0.212847	0.189615
 55	0.013123	  5	0.196449	0.189615
 55	0.013123	  6	0.200909	0.189615
 55	0.013123	  7	0.247666	0.189615
 55	0.013123	  8	0.201903	0.189615
 55	0.013123	  9	0.213021	0.189615
 56	0.011155	  1	0.196660	0.189615
 56	0.011155	  2	0.207650	0.189615
 56	0.011155	  3	0.206375	0.189615
 56	0.011155	  4	0.198313	0.189615
 56	0.011155	  5	0.207291	0.189615
 56	0.011155	  6	0.207636	0.189615
 56	0.011155	  7	0.192931	0.189615
 56	0.011155	  8	0.205205	0.189615
 56	0.011155	  9	0.227126	0.189615
 57	0.009482	  1	0.212922	0.189615
 57	0.009482	  2	0.198432	0.189615
 57	0.009482	  3	0.194969	0.189615
 57	0.009482	  4	0.215767	0.189615
 57	0.009482	  5	0.229064	0.189615
 57	0.009482	  6	0.237777	0.189615
 57	0.009482	  7	0.232319	0.189615
 57	0.009482	  8	0.208207	0.189615
 57	0.009482	  9	0.193349	0.189615
 58	0.008059	  1	0.198986	0.189615
 58	0.008059	  2	0.202671	0.189615
 58	0.008059	  3	0.203890	0.189615
 58	0.008059	  4	0.230742	0.189615
 58	0.008059	  5	0.216697	0.189615
 58	0.008059	  6	0.193763	0.189615
 58	0.008059	  7	0.194240	0.189615
 58	0.008059	  8	0.202381	0.189615
 58	0.008059	  9	0.197257	0.189615
 59	0.006850	  1	0.206149	0.189615
 59	0.006850	  2	0.200249	0.189615
 59	0.006850	  3	0.194471	0.189615
 59	0.006850	  4	0.200789	0.189615
 59	0.006850	  5	0.225671	0.189582
 59	0.006850	  6	0.220311	0.189582
 59	0.006850	  7	0.195070	0.189582
 59	0.006850	  8	0.193208	0.189582
 59	0.006850	  9	0.194667	0.189582
 60	0.005823	  1	0.196861	0.189582
 60	0.005823	  2	0.192588	0.189582
 60	0.005823	  3	0.211595	0.189582
 60	0.005823	  4	0.199872	0.189582
 60	0.005823	  5	0.191334	0.189582
 60	0.005823	  6	0.191421	0.189582
 60	0.005823	  7	0.201096	0.189582
 60	0.005823	  8	0.196423	0.189582
 60	0.005823	  9	0.193358	0.189582
 61	0.004949	  1	0.202011	0.189582
 61	0.004949	  2	0.191726	0.189582
 61	0.004949	  3	0.201351	0.189582
 61	0.004949	  4	0.200330	0.189582
 61	0.004949	  5	0.193976	0.189582
 61	0.004949	  6	0.190511	0.189582
 61	0.004949	  7	0.194491	0.189582
 61	0.004949	  8	0.209433	0.189582
 61	0.004949	  9	0.200444	0.189582
 62	0.004207	  1	0.207575	0.189582
 62	0.004207	  2	0.194946	0.189582
 62	0.004207	  3	0.194504	0.189582
 62	0.004207	  4	0.192804	0.189582
 62	0.004207	  5	0.198061	0.189582
 62	0.004207	  6	0.207422	0.189582
 62	0.004207	  7	0.193982	0.189582
 62	0.004207	  8	0.190698	0.189582
 62	0.004207	  9	0.195152	0.189582
 63	0.003576	  1	0.199855	0.189582
 63	0.003576	  2	0.197751	0.189582
 63	0.003576	  3	0.199928	0.189582
 63	0.003576	  4	0.210021	0.189582
 63	0.003576	  5	0.195662	0.189582
 63	0.003576	  6	0.197202	0.189582
 63	0.003576	  7	0.200601	0.189582
 63	0.003576	  8	0.201749	0.189582
 63	0.003576	  9	0.192444	0.189582
 64	0.003040	  1	0.193195	0.189582
 64	0.003040	  2	0.194738	0.189582
 64	0.003040	  3	0.193471	0.189582
 64	0.003040	  4	0.192783	0.189582
 64	0.003040	  5	0.198895	0.189582
 64	0.003040	  6	0.200308	0.189582
 64	0.003040	  7	0.196695	0.189582
 64	0.003040	  8	0.191001	0.189582
 64	0.003040	  9	0.194002	0.189582
 65	0.002584	  1	0.190560	0.189582
 65	0.002584	  2	0.193338	0.189582
 65	0.002584	  3	0.198061	0.189582
 65	0.002584	  4	0.196159	0.189582
 65	0.002584	  5	0.192647	0.189582
 65	0.002584	  6	0.198332	0.189522
 65	0.002584	  7	0.192374	0.189522
 65	0.002584	  8	0.193239	0.189522
 65	0.002584	  9	0.193578	0.189522
 66	0.002196	  1	0.190806	0.189522
 66	0.002196	  2	0.195614	0.189522
 66	0.002196	  3	0.195685	0.189522
 66	0.002196	  4	0.192648	0.189522
 66	0.002196	  5	0.199441	0.189522
 66	0.002196	  6	0.191754	0.189522
 66	0.002196	  7	0.192862	0.189522
 66	0.002196	  8	0.192529	0.189522
 66	0.002196	  9	0.192422	0.189522
 67	0.001867	  1	0.196680	0.189522
 67	0.001867	  2	0.190352	0.189522
 67	0.001867	  3	0.196584	0.189522
 67	0.001867	  4	0.192122	0.189522
 67	0.001867	  5	0.196439	0.189522
 67	0.001867	  6	0.194592	0.189522
 67	0.001867	  7	0.193372	0.189522
 67	0.001867	  8	0.197428	0.189522
 67	0.001867	  9	0.192654	0.189522
 68	0.001587	  1	0.193611	0.189473
 68	0.001587	  2	0.192758	0.189473
 68	0.001587	  3	0.191791	0.189473
 68	0.001587	  4	0.190449	0.189473
 68	0.001587	  5	0.193689	0.189473
 68	0.001587	  6	0.194240	0.189473
 68	0.001587	  7	0.191886	0.189473
 68	0.001587	  8	0.192175	0.189473
 68	0.001587	  9	0.190550	0.189473
 69	0.001349	  1	0.192174	0.189473
 69	0.001349	  2	0.195494	0.189473
 69	0.001349	  3	0.199402	0.189473
